"","SSP.min.corToCMS1","SSP.min.corToCMS2","SSP.min.corToCMS3","SSP.min.corToCMS4","SSP.median.corToCMS1","SSP.median.corToCMS2","SSP.median.corToCMS3","SSP.median.corToCMS4","SSP.max.corToCMS1","SSP.max.corToCMS2","SSP.max.corToCMS3","SSP.max.corToCMS4","SSP.nearestCMS","SSP.predictedCMS"
"GSM972082_SOG_737_U133_2.CEL.gz",0.186240233415535,-0.446173177677436,-0.0213570073914729,0.224067409703358,0.257596621320307,-0.415388726639854,0.0300380131947629,0.250050317098361,0.28441128036421,-0.351781964693945,0.0331580749237863,0.329400196542886,"CMS4",NA
"GSM972083_SOG_738_U133_2.CEL.gz",-0.0219510801372696,-0.00310855072318418,-0.24729130286886,0.047425019655928,0.0352203060752721,0.0277665055555089,-0.219627917752219,0.0866372488159866,0.0702732197806219,0.0630795983055726,-0.187079628441551,0.122359305945505,"CMS4",NA
"GSM972084_SOG_739_U133_2.CEL.gz",-0.0530638308336244,-0.221818287606361,0.00132310636379342,0.131883927852141,0.0344008451183285,-0.184904508443635,0.0423782474839013,0.200029881641393,0.0571108088507305,-0.138800412878955,0.0738886919553171,0.257165919297546,"CMS4","CMS4"
"GSM972085_SOG_743_U133_2.CEL.gz",-0.164045837682546,0.161653119122921,-0.199159185536246,-0.0277493324370101,-0.141706599526723,0.20273058966776,-0.169213268428633,-0.0236873987881303,-0.092682091658789,0.223115771339042,-0.145166042886307,0.0173791665257156,"CMS2","CMS2"
"GSM972086_SOG_7610_U133_2.CEL.gz",-0.0782208709128823,0.148552733115885,-0.235775912471567,-0.0950683696146496,-0.0462280528423043,0.213073236085005,-0.207714742803854,-0.0792257176086491,-0.0347739965410719,0.236970967836676,-0.166335309954471,-0.048566831614203,"CMS2","CMS2"
"GSM972087_SOG_8196_U133_2.CEL.gz",-0.160239127310847,0.290850323220273,-0.00220660877164372,-0.38172254326117,-0.113125160819281,0.338851357614532,0.0280029300141198,-0.370094205121041,-0.0448342860566368,0.35067753301442,0.106588359723164,-0.319762400644414,"CMS2","CMS2"
"GSM972088_SOG_8612_U133_2.CEL.gz",-0.0554518615976452,-0.260917209713219,0.0109937794006006,0.169950016773132,0.0366016154461779,-0.224605985508201,0.0424626040947002,0.244610486036683,0.0626005106133755,-0.166549080074316,0.0782482905211545,0.293031353476033,"CMS4","CMS4"
"GSM972089_SOG_9184_U133_2.CEL.gz",0.0959882623300071,-0.403755688939571,-0.323164980454134,0.442819423778909,0.179555300126144,-0.368662877535933,-0.270269762550601,0.484426435301091,0.266429438722616,-0.312598339301499,-0.256464361102917,0.542524371087771,"CMS4","CMS4"
"GSM972090_SOG_9243_U133_2.CEL.gz",-0.2076245765287,0.291591265171882,0.0682114960705551,-0.392890544750771,-0.169284474303166,0.351236064945916,0.0965008930996642,-0.374175149062281,-0.101882411904913,0.361665727203624,0.166310512606341,-0.317479443233778,"CMS2","CMS2"
"GSM972091_SOG_9304_U133_2.CEL.gz",-0.0998598381078627,0.14979905533807,0.275856063136575,-0.51103069280337,-0.0310107810274642,0.212416867438555,0.328075816282513,-0.469328625513225,0.0745562092600915,0.221961832397846,0.380193580745775,-0.439886706005843,"CMS3","CMS3"
"GSM972092_SOG_9607_U133_2.CEL.gz",-0.0548873776844802,-0.0652956510498486,-0.394476001471163,0.280321011005356,0.00653391467079156,-0.0456472926180261,-0.346657491138832,0.282051559144506,0.0800927448059764,-0.0188376016621685,-0.305144763630318,0.308226452647074,"CMS4","CMS4"
"GSM972093_SOG_9736_U133_2.CEL.gz",-0.284626100987578,0.0875861799350005,-0.434406574562557,0.275086787882527,-0.218038660503312,0.153793655079909,-0.406493274881448,0.307092872233961,-0.160852931034762,0.172637747599278,-0.349870769291969,0.339992149781823,"CMS4","CMS4"
"GSM972094_SOG_9749_U133_2.CEL.gz",-0.0508751554066016,-0.0159921370033438,-0.286900915922274,0.146613731609023,0.00200662279202876,0.0204536433730924,-0.273778710890265,0.167880337346137,0.0288184314413341,0.0469176799818495,-0.239309717285886,0.183548274448357,"CMS4","CMS4"
"GSM972095_SOG_9848_U133_2.CEL.gz",-0.0841988831072101,0.0375441911632248,-0.354512077901652,0.158195422953939,-0.0170353941903921,0.060889622616045,-0.328361264844702,0.18709670221067,0.00174742937604324,0.095977145446009,-0.317680196338391,0.192928265546804,"CMS4","CMS4"
